"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","311-1017-1-ND","CC0402JRNPO9BN150","CAP CER 15PF 50V C0G/NPO 0402","","2","0","0.10000","0.20"
"2","11","311-1338-1-ND","CC0402KRX7R7BB104","CAP CER 0.1UF 16V X7R 0402","","11","0","0.02700","0.30"
"3","2","S1011EC-20-ND","PRPC020SAAN-RC","CONN HEADER VERT 20POS 2.54MM","","2","0","0.60000","1.20"
"4","2","311-5.10KLRCT-ND","RC0402FR-075K1L","RES 5.1K OHM 1% 1/16W 0402","","2","0","0.10000","0.20"
"5","2","YAG3086CT-ND","RC0402FR-0727RL","RES 27 OHM 1% 1/16W 0402","","2","0","0.10000","0.20"
"6","2","311-10.0KLRCT-ND","RC0402FR-0710KL","RES 10K OHM 1% 1/16W 0402","","2","0","0.10000","0.20"
"7","1","2648-SC0914(13)CT-ND","SC0914(13)","IC MCU 32B EXT MEM 56QFN RP2040","","1","0","0.76000","0.76"
"8","1","NCP1117ST33T3GOSCT-ND","NCP1117ST33T3G","IC REG LINEAR 3.3V 1A SOT-223","","1","0","0.60000","0.60"
"9","1","MX25L12872FM2I-10G-ND","MX25L12872FM2I-10G","IC FLASH 128MBIT SPI/QUAD 8SOP","","1","0","2.82000","2.82"
"10","2","4809-SKRKAEE020CT-ND","SKRKAEE020","SWITCH TACTILE SPST-NO 0.05A 12V","","2","0","0.41000","0.82"
"11","1","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","","1","0","0.80000","0.80"
"12","2","311-1448-1-ND","CC0603MRX5R5BB106","CAP CER 10UF 6.3V X5R 0603","","2","0","0.24000","0.48"
"13","1","311-1730-1-ND","CC0402MRX5R5BB475","CAP CER 4.7UF 6.3V X5R 0402","","1","0","0.17000","0.17"
"14","2","311-1438-1-ND","CC0402KRX5R5BB105","CAP CER 1UF 6.3V X5R 0402","","2","0","0.10000","0.20"
"15","1","S1011EC-03-ND","PRPC003SAAN-RC","CONN HEADER VERT 3POS 2.54MM","","1","0","0.32000","0.32"
"16","3","311-1.00KLRCT-ND","RC0402FR-071KL","RES 1K OHM 1% 1/16W 0402","","3","0","0.10000","0.30"
"17","1","296-50511-1-ND","TVS1400DRVR","UNIDIR  PRECISION SURGE DIODE","","1","0","1.03000","1.03"
"18","1","535-9137-1-ND","ABM8-22.1184MHZ-B2-T","CRYSTAL 22.1184MHZ 18PF SMD","","1","0","0.43000","0.43"

